step,time,mu,sigma,entropy,sharpness,sat_hi,sat_lo,exp_100us,exp_ms,delta_exp,reward,mean_pred,uncertainty,ucb_score,action_idx,num_actions
0,1763652826.2930982,61.40440104166667,48.34340045739036,3.34726,200.5298812451775,0.008346354166666667,0.0,190,19.0,-10,10.0,0.0,10.0,15.0,0,7
1,1763652826.8565784,59.38634548611111,46.77583083187924,3.314093,186.89538528035482,0.008216145833333334,0.0,180,18.0,-10,10.0,3.633821772415768,10.0,18.633821772415768,0,7
2,1763652826.9227946,57.29379340277778,45.13842209225031,3.2734802,172.840164251709,0.007955729166666667,0.0,170,17.0,-10,10.0,5.393605705357869,10.0,20.39360570535787,0,7
3,1763652826.9921901,55.72707465277778,43.96919523723852,3.2453156,163.0930691865709,0.007356770833333333,0.0,160,16.0,-10,10.0,8.383254359508074,10.0,23.383254359508072,0,7
4,1763652827.0571969,54.33125868055556,42.95883697141436,3.2196445,155.95802423003397,0.006167534722222222,0.0,150,15.0,-10,10.0,2.3268943292341477,10.0,17.326894329234147,0,7
5,1763652827.123662,52.58769965277778,41.53308231791204,3.1827765,146.32585688293833,0.0028862847222222224,0.0,140,14.0,-10,10.0,3.7285787667225136,10.0,18.728578766722514,0,7
6,1763652827.190609,49.15026041666667,38.1786586182715,3.097918,127.03294918227961,0.0,0.0,130,13.0,-10,10.0,6.522696310507093,9.360488928051382,20.563429702584166,0,7
7,1763652827.2913814,45.49587239583333,34.543360563276856,2.9912567,107.18834526156202,0.0,0.0,120,12.0,-10,10.0,14.789866918787252,10.0,29.789866918787254,0,7
8,1763652827.354087,41.52335503472222,30.545581855021158,2.8773832,87.42234211544461,0.0,0.0,117,11.700000000000001,-3,10.0,0.0,10.0,15.0,1,7
9,1763652827.4242215,40.612834201388885,29.63268599379553,2.849531,83.15490099553239,0.0,0.0,107,10.700000000000001,-10,10.0,7.092534497432231,10.0,22.092534497432233,0,7
10,1763652827.4912865,37.40094618055556,26.45683176462006,2.7375412,69.08978009709487,0.0,0.0,100,10.0,-10,10.0,19.244315480668003,10.0,34.24431548066801,0,7
