step,time,mu,sigma,entropy,sharpness,sat_hi,sat_lo,exp_100us,exp_ms,delta_exp,reward,mean_pred,uncertainty,ucb_score,action_idx,num_actions
0,1763641973.9487936,70.05069878472223,52.45259958353568,3.4832768,252.0668440585667,2.170138888888889e-05,0.0,197,19.700000000000003,-3,10.0,0.0,10.0,15.0,0,5
1,1763641974.5465631,69.59500434027778,52.02477910421143,3.4779425,233.862033079849,1.736111111111111e-05,0.0,194,19.400000000000002,-3,10.0,8.11859613000059,10.0,23.11859613000059,0,5
2,1763641974.6114376,68.91060763888889,51.40632454718212,3.4656725,229.50747686360677,1.736111111111111e-05,0.0,191,19.1,-3,10.0,7.641437747586053,10.0,22.641437747586053,0,5
3,1763641974.714073,68.21640190972222,50.785558980310874,3.4540315,223.49680671175733,1.3020833333333334e-05,0.0,188,18.8,-3,10.0,8.860768191030779,10.0,23.86076819103078,0,5
4,1763641974.7801433,67.58996961805556,50.25008304908609,3.443349,219.5801272370327,8.680555555555556e-06,0.0,185,18.5,-3,10.0,8.923685063659871,10.0,23.92368506365987,0,5
5,1763641974.8461351,66.93904079861112,49.690148987214755,3.431521,216.53605900967446,4.340277777777778e-06,0.0,182,18.2,-3,10.0,9.468063403277855,10.0,24.468063403277853,0,5
6,1763641974.9131138,66.39018663194445,49.22056507288026,3.4224043,211.52460839813614,4.340277777777778e-06,0.0,179,17.900000000000002,-3,10.0,2.4010860713418625,10.0,17.40108607134186,0,5
7,1763641974.9812002,65.8110546875,48.72562957643825,3.4119997,207.6006358035994,0.0,0.0,176,17.6,-3,10.0,11.739049596267307,10.0,26.739049596267307,0,5
8,1763641975.0465016,65.27316840277778,48.288649213998646,3.402125,204.62384056937137,0.0,0.0,173,17.3,-3,10.0,2.3799778667369385,10.0,17.379977866736937,0,5
9,1763641975.1465113,64.8438454861111,47.942047801121454,3.3944306,201.39448184390602,0.0,0.0,170,17.0,-3,10.0,9.53324970550309,10.0,24.53324970550309,0,5
10,1763641975.2131789,64.32979166666667,47.52400878574648,3.3846304,198.86508780018372,0.0,0.0,167,16.7,-3,10.0,10.09753300308133,10.0,25.09753300308133,0,5
11,1763641975.2795286,63.86148003472222,47.15126396286327,3.3762274,196.61742809152486,0.0,0.0,164,16.400000000000002,-3,10.0,7.0824448494933065,10.0,22.082444849493307,0,5
12,1763641975.3427587,63.41766493055555,46.805238649467036,3.3676417,195.02062734344864,0.0,0.0,161,16.1,-3,10.0,9.461995187024613,10.0,24.461995187024613,0,5
13,1763641975.410131,63.101467013888886,46.5663379246101,3.3619928,192.04093380758022,0.0,0.0,160,16.0,-1,10.0,0.0,10.0,15.0,1,5
